Review and Approval Meeting - Chemical - Session 2 
mié, 11 de dic de 2024

0:05 - Unidentified Speaker Hi, everyone. We'll just give a few minutes for everyone to join. You.
1:37:09 - MM- SKEC2 - L08 Allows you to maintain demand for a group of items, which is called aggregated level planning. But what we understand, based upon discussions with even Murugan, we don't want to do aggregated level planning because aggregated planning is not something which is required. We'll have to do it at material level, is what we understand. But there is a feature in IVP which is called aggregated planning, where you create demanded group and then based upon ratios it will evenly split or. Between the materials, if we are adding this panel.

1:37:47 - Arunkumar Viswanathan (ADNOC Refining - HQ) So this demand forecasting how often we have to run like, Starting off each month or how it is.

1:37:56 - MM- SKEC2 - L08 It's a monthly activity.

1:37:58 - Arunkumar Viswanathan (ADNOC Refining - HQ) For example, if I done starting of this month and I received a request for the trial. The mid of that month. Yeah, so I need to take an action maybe within the next two three months. They did a chemical for trial. So yeah, is it allowed for me to run with a single item?

1:38:23 - MM- SKEC2 - L08 So so what we are recommending is that we follow process that first. So there is a planning calendar. At the end section, there is a planning calendar for chemical. So as for the planning calendar, we should try to make sure that whatever clarity we need is brought into that planning calendar. If there is a requirement which is beyond, which is coming in the planning calendar, there are two options. Either you enter that requirement and it gets considered in the next planning cycle, which means if in the third week, say if you get a demand input and you add that into system, but it will not be considered planning, because supply planning is already considered based on the initial week's input. And it can be part of the next week input, next month's planning cycle, so that it can be considered. That's one option. If it is very urgent, you can directly use S-400 to create a PR manually. And then that will get automatically incorporated in the next planning cycle as open PR. Or you can manually run the process, but we don't process for one model because then you will have to go through the entire cycle of confirming demand for that model, then confirming supply for that model, which is something which

1:39:40 - Unidentified Speaker is not advisable, but there are ways to do it.

1:39:45 - Arunkumar Viswanathan (ADNOC Refining - HQ) So there is an option that we can raise PR.

1:39:49 - MM- SKEC2 - L08 Without disturbing the demand running, so that's something from a from a policy perspective.

1:39:55 - Arunkumar Viswanathan (ADNOC Refining - HQ) perspective which needs to be aligned and that is something only for the higher management know they will not listen all this thing all of a sudden they will tell okay raise the PR within one hour yeah some some situation

1:40:11 - Rido Mardian (ADNOC Sour Gas - Procurement) like that some of you know our control is user make the requirement is not as according the the demand planning what they already upload suddenly next week they want to order this one they put the demand planning, maybe they don't put.

1:40:26 - Arunkumar Viswanathan (ADNOC Refining - HQ) If there is a supply leak or process leak no, they will tell us to immediately order some chemicals. So for that I cannot wait for a month to have the demand planning run no.

1:40:39 - Rido Mardian (ADNOC Sour Gas - Procurement) Yeah, because we have some condition also in our plan which is the tank level is beyond our control is an operation control. We don't know exactly how much tank level today, only the operation have that indication. With them and suddenly the time level low, then they asked to order.

1:40:57 - Arunkumar Viswanathan (ADNOC Refining - HQ) So it is not even even for our materials now the currently the existing MRP run goes every month, but we haven't feature. Yes, we can do in a single item level. We can run an MRP based on the work order. We can generate a PR through system and we can process for further procurement action. Why we are asking this? This question means we have been audited by Adnog health check. Why people they are raising a manual PR instead of using the system generated PRs?

1:41:31 - MM- SKEC2 - L08 So we understand so probably as part of the change management which is getting through this tool, we need to make sure that all the stakeholders are aligned to the process we are trying to bring in so that we can minimize the exceptions but then yes for sure for exceptions uh there will be the process which we uh which we are doing as one of the materials but then that should be only exceptions and we should not end up

1:42:02 - Arunkumar Viswanathan (ADNOC Refining - HQ) in a situation where everything becomes an exception and we don't follow the main process which is to be followed if manual pr can be possible or can be done no you should have this kind of of what is not covered in the plan. So that in the future, from audit point of view, we will be safe.

1:42:22 - MM- SKEC2 - L08 So that is something probably more of a strategic decision that with this tool, which company is investing, whether you want to allow this manual exception or it should follow the process, that something can be discussed separately, Arun.

1:42:37 - Arunkumar Viswanathan (ADNOC Refining - HQ) I am giving you a live example now. See, on the day one, run as done after 3-4 days there is an emergency you have to go for a new item procurement yeah right Aran this is what I cannot wait for next one month to system to collect

1:42:55 - Aysha Abdulla Al Ali (ADNOC - GP) my payment how rigid is the system I mean sometimes some failure happen same time they will tell you raise PR they will not wait until the next supply demand and this Rahul thing from business use of point of view

1:43:10 - Arunkumar Viswanathan (ADNOC Refining - HQ) If you are in my position, definitely you will also have a tendency to release the PR on urgent basis. You will not wait for next one month.

1:43:23 - MM- SKEC2 - L08 So in the supply planning, we also have, as per the input provided, the critical materials or business continuity materials, the planning should happen on weekly level. So supply planning, in the supply planning, we have identified this as a requirement, and we are providing solution for weekly MRP, which is happening today as per for BC and the critical materials. So that will continue. But at the same time, SAP does not stop you to create a PR if there is an urgency which is beyond the planning cycle. So for sure, that process can be utilized for any urgency which is beyond the planning cycle of IVP.

1:44:05 - Unidentified Speaker So can we include that point here?

1:44:09 - Arunkumar Viswanathan (ADNOC Refining - HQ) Like in case of any emergency like, Actually. I think there are a few go to end of the page.

1:44:21 - Aysha Abdulla Al Ali (ADNOC - GP) There is also one of the comment not only routine job has to be considered also like emergency and I'm normal. Activities has to be included here. There has to be some. I'll go on that point, but we can't.

1:44:40 - MM- SKEC2 - L08 I don't know because this is something part of So yeah, I understand this is important and we're not saying we should not be capturing it. It's just that it should be captured in supply planning where the PRs are proposed by IBP. So if you don't want to wait till the IVP proposal of PR, then the manual PR should be in case of emergency manual PR should be We can add this point as part of this document as well, but it is relevant more for supply planning is what I'm saying.

1:45:10 - Unidentified Speaker OK.

1:45:10 - Yaser Salem Bin Zubaa (ADNOC - GP) I think OK, I think for any PR management, I think related to supply, but mention it here and then this is very important to show that we need to have allowed the system or access in case of have. If you have any emergency urgent requirement, we need to have a manual that's a very good question. I think it's a very, uh, precious requisition.

1:45:37 - MM- SKEC2 - L08 In case of anything mentioned it anywhere here. There will be another document. Yes, sir. For supply planning, but and we will mention will make sure that it is added in the process information. But for demand planning chemicals. Sufficient, then we will make sure that this comment is not only added as a comment, but it is added as a process information because it's more related to supply planning.

1:46:12 - Yaser Salem Bin Zubaa (ADNOC - GP) Okay, I recommend the same point will be discussed later with the supply stream. Because I have also another document for the supply chemicals, which will relate it mainly to the material management and the sharing, etc. A lot of activity there. So there will go deep dive to discuss the manual PRs and consolidation rules and etc. So that I think we are OK here. Can go ahead. I think still we have any point here.

1:46:45 - Firas Oqdeh (ADNOC Group D&CS) One one question guys. Sorry guys, I'm coming just for two minutes. I just want having one discussion with the Khalid concerning the maintenance team involvement in this in this review. Now the question here are we and when we come to this process of the demand planning and supply planning is it a process that the inventory team is sit and then the maintenance will adhere to or it is a process where they tell us what needs to be done from demand and inventory planning and who's who's the governance body is it them or the inventory team?

1:47:28 - Unidentified Speaker The question is to add no team here, guys.

1:47:36 - Firas Oqdeh (ADNOC Group D&CS) So now if I want the purpose of this question is we are doing a demand plan inventory supply demand planning, right? So so the process I'm talking about, not the request. The request will come from them for sure, but do they tell us how we do the planning?

1:48:06 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) I believe the 100% the demand planning will be by the the operation and maintenance team. Then why we are discussing this requirement with you?

1:48:16 - Firas Oqdeh (ADNOC Group D&CS) Then this implementation is for the EWM, not for the inventory team, right?

1:48:22 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) That's why we just keep on saying that 8080. I mean 80% of this document is related to the maintenance operation.

1:48:30 - Firas Oqdeh (ADNOC Group D&CS) Guys, we need to differentiate between somebody is doing an action and somebody is doing the governance. I'll give you one example. Are you using a fee? And a few is using a fee or do you know what is a fee? Are not invoices invoices? Are you using invoices in AdNoc?

1:48:50 - Unidentified Speaker Even invoices you are not using?

1:48:52 - Firas Oqdeh (ADNOC Group D&CS) So I want to give an example. I want to give example and I'm failing. The invoices, not PO invoices. Okay, the non-PO invoices, you don't tell the finance how that invoice process should work. They will tell you how it works, but they will give you the ability to submit it. This is the same here. And I need to know if this is, let me call Asma, I need to talk with Asma and with Abu Hassan. If this is not an inventory team discussion, then why are we discussing this with you? I mean as a process governance. If the demand and supply is totally done by the EWM and the EWM tell how that process should work, then we need to involve them and then you should be the wrong audience in this meeting. Anything or vice versa and it's based on who is the governance. Let me add Asma.

1:49:51 - Naamani, Mohamad Especially since Akhfiras also we had design workshops with the team or the representatives.

1:49:57 - Firas Oqdeh (ADNOC Group D&CS) Based on what they attended and they said we need the process to work this way and even the comments which I hear now then why you are giving these comments if this process is for The team is saying that this demand and supply planning is a process that is owned and governed totally by the enterprise asset management team, not by the inventors. Team. Is this true?

1:50:41 - Asma Saleh Al Hadhrami (ADNOC - GP) What it includes exactly? If it's not inventory, why it's here? Exactly, exactly.

1:50:49 - Firas Oqdeh (ADNOC Group D&CS) Then do they tell how new material, chemicals should be planned? What are the master data should be there? How the process works? It should be supplied I believe this message should be clear to the business team, to the users, that this is their process. It's not the EAM process. And we will go to the EWM and tell them, OK, and train them on the process. But we will not ask them about their, it's not their requirements.

1:51:30 - Asma Saleh Al Hadhrami (ADNOC - GP) It's the inventory requirements, correct? Asma? Can I see the write-up? What exactly we're discussing?

1:51:37 - Firas Oqdeh (ADNOC Group D&CS) We are discussing one point. Do I need now, do I need Asma to cancel these meetings and bring only the EAM team, ask them to review these documents, approve it and implement this and train them? We are having two things. We are having the users and we are having the governance. The users are EWM, the users are inventory, the users are procurement. These are the different personas of users. But the governance of the process, the body in ADNOC who tells that the process should be step 1, 2, 3, 4, 5, 6, 7, 8, is the inventory team.

1:52:27 - Asma Saleh Al Hadhrami (ADNOC - GP) Correct? Correct.

1:52:28 - Firas Oqdeh (ADNOC Group D&CS) With governance excellence, correct. With excellence, exactly. I don't want to classify this. No, no, no, process is governed and designed and decided by the inventory team plus the excellence team and the other team within the procurement. But the users will have EM who will be trained on this new process and how to use it. So my statement here that when you are approving this, I'm sorry, my summary here, When you are approving here, you are approving the process. You are not approving the users. You are approving that the process should work this way. These are the details. I hear some discussions, which is rightly said in that discussion, and you are providing your concern about the process. And it should be fixed based on your requirement, not based on the AM requirement. What we will do, we'll go to the AM requirement and we'll tell them, guys, we'll tell them, we'll not ask them. Tell them, guys, this is the new process. How the process will work. They don't have the right and come and say, no, sorry, I don't want to do it this way. I have my own way. No, this is not their call. So in summary here, again, let me repeat myself. When we ask you guys to review and approve, you are reviewing and approving the process, not how the users will be accepting it or rejecting it from the other teams. I gave you one example for the invoice. You cannot go now to the finance and tell the finance, no, I don't want to my invoice this way. I want it my way." They will tell you, no, this is not your business. We own as a finance, they will say this, the invoice process. You are user for it. So the same applies here when we come to the AAM team. They will be user of the system, but they will not decide the process. So please, when we ask you for comments, please provide your comments. And when we ask you for approval for it, we are asking you from governance perspective, from user perspective. Anybody has any comment on what I said or he say no, this is not a line.

1:55:02 - Ali Mohammed Ahmed (ADNOC Onshore - PD) If you allow me, Mr. Firas. Please. You summarize the situation. Maybe your words are 100% correct. Currently, the end user, he makes the specific which have nothing to do with this because this is demand planning. In the current situation for the chemical, we are receiving the demand plan manually. Now instead of manually, is to make the job easy for ourselves and for them, receive it through the system so it is recorded for everybody. It's to create a system to help team to plan their work to in order to serve properly the end user. Let me ask you a question here.

1:55:52 - Firas Oqdeh (ADNOC Group D&CS) The the template which they are saying sending to you. Did they design that template or did do they tell you what needs to be structured in that template or it's your template? You give it to them and you ask is an inventory. It is an inventory process. I love you my brother.

1:56:08 - Ali Mohammed Ahmed (ADNOC Onshore - PD) This is this is this is my understanding and from the beginning with when they ask us to involve as a focal point, as an inventory, because if it is not inventory, we don't need to involve in it.

1:56:24 - Firas Oqdeh (ADNOC Group D&CS) We are changing your current manual practice to automated process. To automated process.

1:56:29 - Ali Mohammed Ahmed (ADNOC Onshore - PD) End user can be aligned.

1:56:32 - Firas Oqdeh (ADNOC Group D&CS) We will come and train them. This is what we are going to do.

1:56:38 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Train them in that and then to Exactly, exactly.

1:56:42 - Firas Oqdeh (ADNOC Group D&CS) In the beginning, if it is required, they can be aligned to be informed. Training, training, they will be trained and they will be provided a comprehensive training about how to do things.

1:56:56 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Because if you leave it for the choice of everybody, we have hundreds of end-users in different groups of companies and everybody will have his own way which feels more comfortable for him to work in it, so we will not reach to a conclusion. So this is an inventory, yeah, an inventory to make the job automated and time-saving, optimizing the inventory. That is the purpose of it.

1:57:27 - Firas Oqdeh (ADNOC Group D&CS) Shukran, this is exactly what I'm saying. So in this case, for us, the EWM team will be trained on our new process, I mean the inventory new process will tell them, this is how you need to do it. Now, if they're having requirements for inventory, they need to communicate with the excellence team, with the inventory team and the HQ, and they need to change their process later. But now, this is the way forward. So accordingly, now, when we ask you, please, we need your signature, we are saying this. Now, I have no problem if somebody is conservative and he doesn't like to sign, he can sign. Design and say align training to EAM team to be provided to use our requirement and I'm signing based on that. We have no problem with that. And he put it sort of conditional that we should train them on what you are designing now that we can accept it, but we shouldn't say we will not accept it after we take all your comments about for sure and consider all your valid comments. You sign and say okay please you are required also to consider my signature as as conditional that you will train our end-users on the new process for the stuff and then it will be our following in uat and training etc exactly so and even in uat you will bring them just to test the process but not to give us comments about how the process should be correct Are we online, chabab? Anybody has any objection?

1:59:07 - Asma Saleh Al Hadhrami (ADNOC - GP) But now it's the right audience and everything is correct, right? We're working in the right way. Yeah, true, true.

1:59:22 - Firas Oqdeh (ADNOC Group D&CS) No, no, 100%, 100%. Any comments, chabab? Any objection? Addition to what Ali has said.

1:59:31 - Yaser Salem Bin Zubaa (ADNOC - GP) Regarding the chemicals process here, you know that the chemicals process is totally different that MRR process. Chemical process is very, very, very important. So that if you see here, we have a lot of comments from the end user, which is most of the comments are valid. So that at the beginning of this meeting, the team here raised, I'm not saying concern, a suggestion or recommendation to the team, KPMG team, that they need to see after the designing, they will start the design, they want to see the scenarios, multiple scenarios, because you know that some of the chemicals are manual, some of the of the chemicals are based on the historical data, we have a trial chemicals, so that the team here would like to see the scenarios and they want to see the performance of the SAP IPB before any sign of our implementation.

2:00:24 - Firas Oqdeh (ADNOC Group D&CS) with you. I agree with you. This is not only a message, this is a requirement that we are considering. Let me give you a little insight about how the process works. The process works. We discuss with you now your requirements and we put it in this document up to the maximum details that we can put, okay? And then after you do this, we will take this requirement and develop it in the system and then we'll present it to you, okay? And we will do something called system integration testing. The system integration testing, it's a testing which we will verify ourselves here to see that your requirements are there. Then after we do that, we are having something called user acceptance testing. The system will not go live. We will not allow it even to go live from digital perspective until you test all your scenarios totally from end-to-end. Means we will have the list of the scenarios detailed, some of them which you mentioned here, for example, and you will be having enough time to test scenarios from end to end and see how it works. Now, during that testing, now you will discover some gaps where some requirements you missed to tell us we are human or some development went wrong, they will fix it, bug in the system, it will be fixed. But again, we will not move live until we get your acceptance on the user acceptance testing that yes the process is working as per my requirement. So this is the stage guys it is called design stage where we see and you are not seeing system it's a piece of word document where you are providing your maximum but try to use your let's say experience to the maximum possible to give us your requirements again if there is something missing here it will be taken later The only thing that will not be taken later easily if you are coming with a new process. If you are bringing a fix there, some, let's say, considerations there, limitations, a process step, we have no problem. But if you come with a totally new process, which is not mentioned here, that will be a sort of change in our project. Again, I'm not telling you that we'll take it. We'll take it also, but unfortunately, that will have impact on the timeline. Okay? That is part of our project management and it's already, Yaser, it is considered. So do not worry, my friends here, that you say something and then tomorrow I develop it, put it live, and you are stuck now. It will not go live. Let me repeat myself again. It will not go live until you do a complete and proper user acceptance for all scenarios. Thank you, Yaser. Mentioning this, so at least others, they might have the same doubts.

2:03:19 - Unidentified Speaker Thank you, Akhfiras.

2:03:20 - Firas Oqdeh (ADNOC Group D&CS) I'll leave it to you. I'll leave it to you guys. Exactly. Just complete the review and provide the maximum you can do and then give us your either acceptance or comments. If you have comments, we will put it there and then we need to get your acceptance. Why we are rushing for the acceptance? Because we need to go to the development after you accept the design here.

2:03:44 - Unidentified Speaker And you can start seeing things alive. Exactly.

2:03:46 - Naamani, Mohamad Thank you. Thank you so much, my friends. And if you have any doubt, also ping me personally.

2:03:52 - Firas Oqdeh (ADNOC Group D&CS) I can explain to you. Thank you so much. Salaam alaikum. Salaam alaikum. Salaam alaikum. Salaam alaikum.

2:03:57 - Unidentified Speaker Salaam alaikum. Salaam alaikum. Salaam alaikum.

2:03:59 - Firas Oqdeh (ADNOC Group D&CS) Salaam alaikum. Salaam alaikum.

2:04:00 - Yaser Salem Bin Zubaa (ADNOC - GP) Salaam alaikum. Salaam alaikum.

2:04:02 - MM- SKEC2 - L08 Salaam alaikum. Salaam alaikum.

2:04:05 - Unidentified Speaker Salaam alaikum.

2:04:10 - Yaser Salem Bin Zubaa (ADNOC - GP) S He's acting for us, he's acting for the digital team and he's also the project, he's working with the project team here to ensure that this project is 100% successful. And also if you have any comment, anything related to digital team, he will be helpful and he can support us on any clarification or anything. Just to give you a brief overview. Whatever for us. So that no, I'm Hamid. Now the time is 36 so that any would like we since we have a lot of comment. Now I'm starting in there. Now we are in the first part 1.1 process flow. So that now what do you think here? Shall we continue still for or to have morning meeting to continuous? We need to hear from the team also. The team here, what do you Yes, one recommendation from my side.

2:05:07 - MM- SKEC2 - L08 So we've tried to answer the comments as much as possible. So if the team can have a look at the comments and close the comments where they feel OK, then we will not spend time on discussing those comments and the comments which are still open. The team feels still some input from us. We can work on this document parallelly to reply and close comments. As much as possible so that you guys can target the session for whatever is not we're not aligned on it so hopefully yeah so wherever we are not aligned and if you need more discussion we can plan for one more session with the team so that all the open comments which we could not reply in that meeting and if you are not satisfied with our replies we can have our discussion to specifically answer those comments Is this something we can proceed with the answer?

2:06:03 - Unidentified Speaker Uh, no comment.

2:06:04 - Yaser Salem Bin Zubaa (ADNOC - GP) Also can go ahead and proceed. It's nobody in here because I saw a lot of the team here.

2:06:12 - Arunkumar Viswanathan (ADNOC Refining - HQ) See wherever it is required not to incorporate in the document you update the document. This has been captured and wherever it is only on like a question and answer. Yes, it is fine. It is for our understanding.

2:06:29 - MM- SKEC2 - L08 So then let's continue with this process. I don't actually let's work on this and then. So I think we will go ahead and reply. We have replied to all the comments. I would request all the team members to check our comments. Reply back if you're not satisfied with the replies or the updates which you have made and we can probably have session will align on the timeline on the plan when we can have the one more session so that we try to close as many points as possible in this week only. And then we'll get back to you team on when we can have a follow-up session to get this final closure of this document. And it may be a case that we don't even need a session. If you are able to reply to all the comments in the document, probably we may not need a session. But then let's discuss about the session as we close all the comments.

2:07:26 - Ali Mohammed Ahmed (ADNOC Onshore - PD) What I said just now, all the majority of the people, they have put their comment. So just reflect that comment in the document and update it in the shared service. Then one day, once it is updated, everybody will review. And if there is some additional comment to add in it, we'll add. And we'll have one more session to finalize.

2:07:51 - Naamani, Mohamad Yeah, and I think- Rahul, we're almost done with updating based on the comments. Maybe we need to do fine tuning before end of day, but we already working in parallel with the team, correct? So this shouldn't take us also that long.

2:08:05 - MM- SKEC2 - L08 Yeah, yeah, so we can. Yeah, you're right moment. We've already replied to most of the comments. I would request the ad hoc team if you feel that the comments what we have mentioned are not sufficient for you to close the point. Comment till you are satisfied.

2:08:20 - Naamani, Mohamad Yeah, so you can work with us in parallel. I highly and everyone already on the live document. Now we addressed most, if not all of the comments. This way we're efficient. You don't need to wait for anything in the live document is already updated. OK.

2:08:36 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Then everybody to take some time to review it and then we'll have our next meeting to finalize will be full.

2:08:43 - Khalid Sarfaraz (ADNOC Group D&CS) I appreciate that timeline here. Let's put a timeline here. Mr. Ali, what time to comment?

2:08:49 - Ali Mohammed Ahmed (ADNOC Onshore - PD) For me, just I can sit one hour extra and review the document and finalize it. I think most of the point now is coming clear. Try to include the new terminal.

2:09:05 - Arunkumar Viswanathan (ADNOC Refining - HQ) Yes, whatever comment captured in the design.

2:09:09 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yes, I will keep on remind you that all the comments just the meaning need to be reflected in the document or add in the index.

2:09:21 - Unidentified Speaker OK.

2:09:22 - MM- SKEC2 - L08 Yeah, what we discussed before.

2:09:24 - Khalid Sarfaraz (ADNOC Group D&CS) So maybe so as an action point, so they will project. They will update and then maybe by end of the day they can reply to the same email that review has been updated.

2:09:41 - Yaser Salem Bin Zubaa (ADNOC - GP) Please check it. And inform the team that the document has been updated. So go through it and review it, any further communication. And also, Khalid, I prefer to meet again maybe by tomorrow morning at 10 to have a few. Update that document by today. It will be OK to meet tomorrow.

2:10:00 - MM- SKEC2 - L08 Tomorrow we have another meeting. Tomorrow we have a session related to drilling, and also we need to use, we have another session to go through the BRD document. So I would request that tomorrow Friday we can have a follow-up session if required to go through document again and between today and tomorrow we can work in this offline mode to update the comments in the document and continue

2:10:25 - Yaser Salem Bin Zubaa (ADNOC - GP) working on the document. The team here, are you okay with you Aru Kumar and Rido? And are you okay to go through the document, what they will do? Yes, yes, yes. So that we will meet again? Yes, we'll meet again on Friday morning. Just follow up to see that document.

2:10:45 - MM- SKEC2 - L08 Does it work for everyone, Yaser? We can send an email.

2:10:50 - Khalid Sarfaraz (ADNOC Group D&CS) Buruj will be there on Friday?

2:10:52 - Yaser Salem Bin Zubaa (ADNOC - GP) Buruj, yes. Buruj are refining also. So that Monday too is okay? Khalid, I think it's so far.

2:11:00 - Mohamad Naamani (ADNOC Group D&CS) I think let's go with Friday with the majority. If there is anything, maybe we'll also check Buruj.

2:11:08 - Khalid Sarfaraz (ADNOC Group D&CS) So Yaser, we will communicate with you. So what we'll do is you'd update the document, the team will update the document by today and then they will send the email. We'll give it tomorrow for the review and then you tell us how do you want it? When do you want it? Then we will do it, OK?

2:11:33 - Ali Mohammed Ahmed (ADNOC Onshore - PD) I have one point just for everybody. To think about it or to help us how, because at the end, we also need to help our end user. Now, the chemicals, when you take it, we have thousands of chemical items for different groups of companies. So the end user, when a chemical comes to him to review, he needs to review the demand. He should receive those chemicals which are relevant to him only. Or there should be a way to filter it where he can find the relevant chemical to him. Otherwise, if he receives a list of thousands of chemicals to review and 95% of it is not relevant to him, that again is time consuming for them.

2:12:29 - MM- SKEC2 - L08 uh the rules and authorization will set up so the rules and authorizations will be set up in a way that if there is certain end user responsible for certain set of chemicals his planning sheet will only reflect those materials

2:12:45 - Ali Mohammed Ahmed (ADNOC Onshore - PD) so that he is not looking at anything else other than his phase is your plant this is part of the yeah and the system we have a lot of item which is not active at the moment. Maybe it was used long ago and it's replaced with different chemicals, but the history is there. So not every item is coded in sub. You need the demand plan for it. Only those items which is active and running currently will go to the demand. So how we can tackle this So let us think about it.

2:13:28 - MM- SKEC2 - L08 Yes, yes. So this is also part of the technical discussion we will have, where when we extract data from S4 HANA to IBP, we look at the material status as one of the primary parameters so that inactive materials are not extracted and we are not planning those. But also we can, as we have the interface activated, we'll continue working on it to make sure that we are working on only the active materials and not inactive materials.

2:13:53 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yes, this is part of our plan. Note of these two points because it is very important later on in the stage of implementation.

2:14:02 - MM- SKEC2 - L08 Yes, yes. This is part of our to-do list for the future discussions. Yes, this is something we are planning to work upon.

2:14:11 - Aysha Abdulla Al Ali (ADNOC - GP) Yeah, Rahia Ali's comment is right. I was wanting to comment on the same thing. We can classify which material can be under demand forecast. For example, fast-moving and vital, essential. We can do like some classification. But all of them has to go under demand forecast.

2:14:30 - MM- SKEC2 - L08 Yeah, we can do the filtering classification. So that's why we are doing the segmentation in RDP as well. So that based upon the segmentation, we can put the filters where we need input from end users and what are those critical materials or fast moving materials where user has to focus. Yeah, yeah, yeah, you're right.

2:14:56 - MM- SKEC2 - L08 Then I think we have discussed this. We'll continue working parallelly in offline for reviewing each other's comments and start closing the comments where you guys are comfortable. And then we'll connect again tomorrow, Yaser, to plan the next session. I would recommend that we go ahead with the Friday session in the morning so that whoever is available, we can close those points so that we really the risk of going beyond Friday. But if required, we can discuss on Friday session how we plan for them.

2:15:32 - Ali Mohammed Ahmed (ADNOC Onshore - PD) If possible, preferably if possible by tomorrow, even afternoon. But if not, then Friday morning, Inshallah. Okay, noted.

2:15:40 - MM- SKEC2 - L08 Thank you so much everyone for your time today.

2:15:45 - Yaser Salem Bin Zubaa (ADNOC - GP) Thank you. Thank you everyone.

2:15:47 - Naamani, Mohamad I appreciate your valuable number.

2:15:50 - Unidentified Speaker Thank you all. Thank you.

2:15:53 - Firas Oqdeh (ADNOC Group D&CS) you Hmm.

2:26:19 - Unidentified Speaker you
